cep,aps
22050002,17001160
22070011,17001160
22060900,17001160
22070012,17001160
22070002,17001160
22070900,17001160
22041901,17001160
22050901,17001160
22060002,17001160
22061030,17001160
22050001,17001160
22031112,17001160
22050900,17001160
22020002,17001160
22010000,17001160
22020001,17001160
22021001,17001160
22021000,17001160
22020970,17001160
22011010,17001160
22050903,17001160
22011971,17001160
22050902,17001160
22031111,17001160
22081031,17001150
22041001,17001160
22070000,17001160
22070001,17001160
22031000,17001160
22060970,17001160
22060001,17001160
22060030,17001160
22041050,17001160
22011020,17001160
22011040,17001160
22040030,17001160
22060040,17001160
22020030,17001160
22041080,17001160
22011080,17001160
22011901,17001160
22020070,17001160
22011970,17001160
22031060,17001160
22081032,17001150
22070020,17001160
22011011,17001150
22061040,17001210
22031130,17001160
22040050,17001160
22061020,17001210
22040901,17001160
22051012,17001150
22051020,17001160
22040001,17001160
22061021,17001210
22021050,17001160
22011001,17001210
22040002,17001160
22050032,17001150
22051011,17001150
22051973,17001160
22051970,17001160
22030010,17001160
22051002,17001150
22051001,17001150
22050031,17001150
22041040,17001160
22051021,17001150
22020010,17001160
22041090,17001160
22030900,17001160
22020050,17001160
22011900,17001160
22051974,17001160
22051030,17001160
22081020,17001160
22081000,17001160
22011002,17001210
22081001,17001160
22071120,17001160
22290110,17001160
22020020,17001160
22080040,17001160
22031100,17001160
22050011,17001150
22011050,17001160
22071020,17001210
22011030,17001160
22061060,17001210
22031011,17001150
22011060,17001160
22050012,17001150
22021030,17001160
22080041,17001160
22031012,17001150
22290120,17001160
22080010,17001160
22031020,17001160
22051971,17001160
22040010,17001160
22071000,17001210
22030030,17001160
22040020,17001160
22060020,17001210
22071030,17001210
22031090,17001160
22011090,17001160
22040041,17001150
22041020,17001160
22080030,17001160
22041060,17001160
22071090,17001210
22031050,17001160
22041070,17001160
22071040,17001210
22041030,17001160
22061000,17001210
22020060,17001160
22040900,17001160
22040021,17001210
22081025,17001160
22060021,17001210
22061900,17001210
22071001,17001210
22030040,17001160
22030020,17001160
22030001,17001150
22031040,17001160
22040042,17001150
22021010,17001160
22031071,17001150
22081010,17001160
22040970,17001160
22031900,17001160
22041012,17001150
22041011,17001150
22041902,17001160
22031072,17001150
22021020,17001160
22020040,17001160
22080001,17001150
22031901,17001160
22031030,17001160
22021040,17001160
22071060,17001210
22071100,17001160
22071101,17001160
22080002,17001150
22041900,17001160
22071010,17001210
22030002,17001150
22260152,17001150
