X,cep,aps,aps_normalizada,Latitude,Longitude,lat_aps,long_aps,centerLat,centerLong,grupo,
1,22050002,17001160,0,-22.9670991,-43.1805367,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9670991,-43.1805367,1,0],"
2,22070011,17001160,0,-22.9839115,-43.1906061,-22.978205,-43.190641,-22.9784463,-43.1918982,3,"[-22.9839115,-43.1906061,3,0],"
3,22060900,17001160,0,-22.9792041,-43.1898495,-22.978205,-43.190641,-22.9784463,-43.1918982,3,"[-22.9792041,-43.1898495,3,0],"
4,22070012,17001160,0,-22.9839115,-43.1906061,-22.978205,-43.190641,-22.9784463,-43.1918982,3,"[-22.9839115,-43.1906061,3,0],"
5,22070002,17001160,0,-22.9844111,-43.1892952,-22.978205,-43.190641,-22.9784463,-43.1918982,3,"[-22.9844111,-43.1892952,3,0],"
6,22070900,17001160,0,-22.9740535,-43.1874285,-22.978205,-43.190641,-22.9784463,-43.1918982,3,"[-22.9740535,-43.1874285,3,0],"
7,22041901,17001160,0,-22.9668457,-43.1928756,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9668457,-43.1928756,1,0],"
8,22050901,17001160,0,-22.9669548,-43.1801647,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9669548,-43.1801647,1,0],"
9,22060002,17001160,0,-22.9807567,-43.1911138,-22.978205,-43.190641,-22.9784463,-43.1918982,3,"[-22.9807567,-43.1911138,3,0],"
10,22061030,17001160,0,-22.976601,-43.1976968,-22.978205,-43.190641,-22.9784463,-43.1918982,3,"[-22.976601,-43.1976968,3,0],"
11,22050001,17001160,0,-22.9712302,-43.1869985,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9712302,-43.1869985,1,0],"
12,22031112,17001160,0,-22.9626153,-43.1911682,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9626153,-43.1911682,1,0],"
13,22050900,17001160,0,-22.9669548,-43.1801647,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9669548,-43.1801647,1,0],"
14,22020002,17001160,0,-22.9659945,-43.1783454,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9659945,-43.1783454,1,0],"
15,22010000,17001160,0,-22.9644929,-43.1732302,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9644929,-43.1732302,1,0],"
16,22020001,17001160,0,-22.9739816,-43.1889378,-22.978205,-43.190641,-22.9784463,-43.1918982,3,"[-22.9739816,-43.1889378,3,0],"
17,22021001,17001160,0,-22.9687857,-43.1807445,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9687857,-43.1807445,1,0],"
18,22021000,17001160,0,-22.965321,-43.1741813,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.965321,-43.1741813,1,0],"
19,22020970,17001160,0,-22.9621959,-43.1783486,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9621959,-43.1783486,1,0],"
20,22011010,17001160,0,-22.9631215,-43.1746584,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9631215,-43.1746584,1,0],"
21,22050903,17001160,0,-22.9669548,-43.1801647,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9669548,-43.1801647,1,0],"
22,22011971,17001160,0,-22.9614409,-43.1735053,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9614409,-43.1735053,1,0],"
23,22050902,17001160,0,-22.9669548,-43.1801647,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9669548,-43.1801647,1,0],"
24,22031111,17001160,0,-22.9626153,-43.1911682,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9626153,-43.1911682,1,0],"
25,22081031,17001150,1,-22.9858454,-43.1942934,-22.971622,-43.188442,-22.9784463,-43.1918982,3,"[-22.9858454,-43.1942934,3,1],"
26,22041001,17001160,0,-22.9717478,-43.1846948,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9717478,-43.1846948,1,0],"
27,22070000,17001160,0,-22.9750051,-43.187385,-22.978205,-43.190641,-22.9784463,-43.1918982,3,"[-22.9750051,-43.187385,3,0],"
28,22070001,17001160,0,-22.9782332,-43.1887897,-22.978205,-43.190641,-22.9784463,-43.1918982,3,"[-22.9782332,-43.1887897,3,0],"
29,22031000,17001160,0,-22.9687136,-43.1839705,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9687136,-43.1839705,1,0],"
30,22060970,17001160,0,-22.9792041,-43.1898495,-22.978205,-43.190641,-22.9784463,-43.1918982,3,"[-22.9792041,-43.1898495,3,0],"
31,22060001,17001160,0,-22.9807567,-43.1911138,-22.978205,-43.190641,-22.9784463,-43.1918982,3,"[-22.9807567,-43.1911138,3,0],"
32,22060030,17001160,0,-22.9781081,-43.1896959,-22.978205,-43.190641,-22.9784463,-43.1918982,3,"[-22.9781081,-43.1896959,3,0],"
33,22041050,17001160,0,-22.9668457,-43.1928756,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9668457,-43.1928756,1,0],"
34,22011020,17001160,0,-22.9621646,-43.1758622,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9621646,-43.1758622,1,0],"
35,22011040,17001160,0,-22.9633947,-43.1752502,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9633947,-43.1752502,1,0],"
36,22040030,17001160,0,-22.9645233,-43.1803462,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9645233,-43.1803462,1,0],"
37,22060040,17001160,0,-22.9798824,-43.1910059,-22.978205,-43.190641,-22.9784463,-43.1918982,3,"[-22.9798824,-43.1910059,3,0],"
38,22020030,17001160,0,-22.9621959,-43.1783486,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9621959,-43.1783486,1,0],"
39,22041080,17001160,0,-22.9677087,-43.1892128,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9677087,-43.1892128,1,0],"
40,22011080,17001160,0,-22.9645233,-43.1803462,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9645233,-43.1803462,1,0],"
41,22011901,17001160,0,-22.9614409,-43.1735053,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9614409,-43.1735053,1,0],"
42,22020070,17001160,0,-22.9621959,-43.1783486,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9621959,-43.1783486,1,0],"
43,22011970,17001160,0,-22.9614409,-43.1735053,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9614409,-43.1735053,1,0],"
44,22031060,17001160,0,-22.9639633,-43.1912473,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9639633,-43.1912473,1,0],"
45,22081032,17001150,1,-22.9851232,-43.1952964,-22.971622,-43.188442,-22.9784463,-43.1918982,3,"[-22.9851232,-43.1952964,3,1],"
46,22070020,17001160,0,-22.9865556,-43.1883242,-22.978205,-43.190641,-22.9784463,-43.1918982,3,"[-22.9865556,-43.1883242,3,0],"
47,22011011,17001150,1,-22.9629495,-43.1747915,-22.971622,-43.188442,-22.9657331,-43.1835126,1,"[-22.9629495,-43.1747915,1,1],"
48,22061040,17001210,2,-22.9769047,-43.1938344,-22.977273,-43.190863,-22.9784463,-43.1918982,3,"[-22.9769047,-43.1938344,3,2],"
49,22031130,17001160,0,-22.9660917,-43.1880338,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9660917,-43.1880338,1,0],"
50,22040050,17001160,0,-22.9697135,-43.184085,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9697135,-43.184085,1,0],"
51,22061020,17001210,2,-22.9756546,-43.1923033,-22.977273,-43.190863,-22.9784463,-43.1918982,3,"[-22.9756546,-43.1923033,3,2],"
52,22040901,17001160,0,-22.9689026,-43.1850073,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9689026,-43.1850073,1,0],"
53,22051012,17001150,1,-22.9748916,-43.1872913,-22.971622,-43.188442,-22.9784463,-43.1918982,3,"[-22.9748916,-43.1872913,3,1],"
54,22051020,17001160,0,-22.9720614,-43.1900124,-22.978205,-43.190641,-22.9784463,-43.1918982,3,"[-22.9720614,-43.1900124,3,0],"
55,22040001,17001160,0,-22.9686243,-43.1857895,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9686243,-43.1857895,1,0],"
56,22061021,17001210,2,-22.9747594,-43.197717,-22.977273,-43.190863,-22.9784463,-43.1918982,3,"[-22.9747594,-43.197717,3,2],"
57,22021050,17001160,0,-22.9652183,-43.1833188,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9652183,-43.1833188,1,0],"
58,22011001,17001210,2,-22.9640719,-43.1787853,-22.977273,-43.190863,-22.9657331,-43.1835126,1,"[-22.9640719,-43.1787853,1,2],"
59,22040002,17001160,0,-22.9682999,-43.1852364,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9682999,-43.1852364,1,0],"
60,22050032,17001150,1,-22.9745731,-43.1905153,-22.971622,-43.188442,-22.9784463,-43.1918982,3,"[-22.9745731,-43.1905153,3,1],"
61,22051011,17001150,1,-22.9728835,-43.1908261,-22.971622,-43.188442,-22.9784463,-43.1918982,3,"[-22.9728835,-43.1908261,3,1],"
62,22051973,17001160,0,-22.9720434,-43.1898495,-22.978205,-43.190641,-22.9784463,-43.1918982,3,"[-22.9720434,-43.1898495,3,0],"
63,22030010,17001160,0,-22.9642593,-43.1804746,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.9642593,-43.1804746,1,0],"
64,22051002,17001150,1,-22.9756546,-43.1923033,-22.971622,-43.188442,-22.9784463,-43.1918982,3,"[-22.9756546,-43.1923033,3,1],"
65,22051001,17001150,1,-22.9714027,-43.1893664,-22.971622,-43.188442,-22.9784463,-43.1918982,3,"[-22.9714027,-43.1893664,3,1],"
66,22050031,17001150,1,-22.975442,-43.1876342,-22.971622,-43.188442,-22.9784463,-43.1918982,3,"[-22.975442,-43.1876342,3,1],"
67,22041040,17001160,0,-22.966324,-43.1901327,-22.978205,-43.190641,-22.9657331,-43.1835126,1,"[-22.966324,-43.1901327,1,0],"
68,22051021,17001150,1,-22.9720515,-43.1900074,-22.971622,-43.188442,-22.9784463,-43.1918982,3,"[-22.9720515,-43.1900074,3,1],"
