"","cep","aps","Latitude","Longitude","lat_aps","long_aps"
"1",22050002,17001160,-22.9670991,-43.1805367,-22.978205,-43.190641
"2",22070011,17001160,-22.9839115,-43.1906061,-22.978205,-43.190641
"3",22060900,17001160,-22.9792041,-43.1898495,-22.978205,-43.190641
"4",22070012,17001160,-22.9839115,-43.1906061,-22.978205,-43.190641
"5",22070002,17001160,-22.9844111,-43.1892952,-22.978205,-43.190641
"6",22070900,17001160,-22.9740535,-43.1874285,-22.978205,-43.190641
"7",22041901,17001160,-22.9668457,-43.1928756,-22.978205,-43.190641
"8",22050901,17001160,-22.9669548,-43.1801647,-22.978205,-43.190641
"9",22060002,17001160,-22.9807567,-43.1911138,-22.978205,-43.190641
"10",22061030,17001160,-22.976601,-43.1976968,-22.978205,-43.190641
"11",22050001,17001160,-22.9712302,-43.1869985,-22.978205,-43.190641
"12",22031112,17001160,-22.9626153,-43.1911682,-22.978205,-43.190641
"13",22050900,17001160,-22.9669548,-43.1801647,-22.978205,-43.190641
"14",22020002,17001160,-22.9659945,-43.1783454,-22.978205,-43.190641
"15",22010000,17001160,-22.9644929,-43.1732302,-22.978205,-43.190641
"16",22020001,17001160,-22.9739816,-43.1889378,-22.978205,-43.190641
"17",22021001,17001160,-22.9687857,-43.1807445,-22.978205,-43.190641
"18",22021000,17001160,-22.965321,-43.1741813,-22.978205,-43.190641
"19",22020970,17001160,-22.9621959,-43.1783486,-22.978205,-43.190641
"20",22011010,17001160,-22.9631215,-43.1746584,-22.978205,-43.190641
"21",22050903,17001160,-22.9669548,-43.1801647,-22.978205,-43.190641
"22",22011971,17001160,-22.9614409,-43.1735053,-22.978205,-43.190641
"23",22050902,17001160,-22.9669548,-43.1801647,-22.978205,-43.190641
"24",22031111,17001160,-22.9626153,-43.1911682,-22.978205,-43.190641
"25",22081031,17001150,-22.9858454,-43.1942934,-22.971622,-43.188442
"26",22041001,17001160,-22.9717478,-43.1846948,-22.978205,-43.190641
