elemLat,elemLong,centerLat,centerLong,label,dist
-22.9670991,-43.1805367,-22.9657331,-43.1835126,1,0.341
-22.9839115,-43.1906061,-22.9784463,-43.1918982,3,0.622
-22.9792041,-43.1898495,-22.9784463,-43.1918982,3,0.226
-22.9839115,-43.1906061,-22.9784463,-43.1918982,3,0.622
-22.9844111,-43.1892952,-22.9784463,-43.1918982,3,0.715
-22.9740535,-43.1874285,-22.9784463,-43.1918982,3,0.669
-22.9668457,-43.1928756,-22.9657331,-43.1835126,1,0.967
-22.9669548,-43.1801647,-22.9657331,-43.1835126,1,0.369
-22.9807567,-43.1911138,-22.9784463,-43.1918982,3,0.269
-22.9766010,-43.1976968,-22.9784463,-43.1918982,3,0.628
-22.9712302,-43.1869985,-22.9657331,-43.1835126,1,0.708
-22.9626153,-43.1911682,-22.9657331,-43.1835126,1,0.857
-22.9669548,-43.1801647,-22.9657331,-43.1835126,1,0.369
-22.9659945,-43.1783454,-22.9657331,-43.1835126,1,0.530
-22.9644929,-43.1732302,-22.9657331,-43.1835126,1,1.062
-22.9739816,-43.1889378,-22.9784463,-43.1918982,3,0.582
-22.9687857,-43.1807445,-22.9657331,-43.1835126,1,0.442
-22.9653210,-43.1741813,-22.9657331,-43.1835126,1,0.957
-22.9621959,-43.1783486,-22.9657331,-43.1835126,1,0.659
-22.9631215,-43.1746584,-22.9657331,-43.1835126,1,0.952
-22.9669548,-43.1801647,-22.9657331,-43.1835126,1,0.369
-22.9614409,-43.1735053,-22.9657331,-43.1835126,1,1.131
-22.9669548,-43.1801647,-22.9657331,-43.1835126,1,0.369
-22.9626153,-43.1911682,-22.9657331,-43.1835126,1,0.857
-22.9858454,-43.1942934,-22.9784463,-43.1918982,3,0.859
-22.9717478,-43.1846948,-22.9657331,-43.1835126,1,0.680
-22.9750051,-43.1873850,-22.9784463,-43.1918982,3,0.600
-22.9782332,-43.1887897,-22.9784463,-43.1918982,3,0.319
-22.9687136,-43.1839705,-22.9657331,-43.1835126,1,0.335
-22.9792041,-43.1898495,-22.9784463,-43.1918982,3,0.226
