cep,Latitude,Longitude
22020970,0,0
22070000,-22.9750051,-43.187385
22050902,38.8966075,-77.1877999
22050001,-22.9712302,-43.1869985
22050900,38.9009108,-77.2137628
22070900,38.9009108,-77.2137628
22011080,-22.9645233,-43.1803462
22041901,38.8418367,-77.117481
22060900,38.9009108,-77.2137628
22031000,-22.9687136,-43.1839705
22041001,-22.9717478,-43.1846948
22011971,-22.9614409,-43.1735053
22011040,-22.9633947,-43.1752502
22061030,-22.976601,-43.1976968
22021000,-22.965321,-43.1741813
22020002,-22.9659945,-43.1783454
22070002,-22.9844111,-43.1892952
22010000,-22.9644929,-43.1732302
22011011,-22.9629495,-43.1747915
22011010,-22.9631215,-43.1746584
22060001,-22.9807567,-43.1911138
22070011,-22.9839115,-43.1906061
22050901,-22.9669548,-43.1801647
22021001,-22.9687857,-43.1807445
22020001,-22.9739816,-43.1889378
22050002,-22.9670991,-43.1805367
22060002,-22.9807567,-43.1911138
22070012,-22.9839115,-43.1906061
22070001,-22.9782332,-43.1887897
22060970,-22.9792041,-43.1898495
22050903,-22.9669548,-43.1801647
22040050,-22.9697135,-43.184085
22061040,-22.9769047,-43.1938344
22060040,-22.9798824,-43.1910059
22070020,-22.9865556,-43.1883242
22041050,-22.9668457,-43.1928756
22031060,-22.9639633,-43.1912473
22020070,-22.9621959,-43.1783486
22011901,-22.9614409,-43.1735053
22040030,-22.9645233,-43.1803462
22011020,-22.9621646,-43.1758622
22081032,0,0
22031130,-22.9660917,-43.1880338
22081031,-22.9858454,-43.1942934
22031112,-22.9626153,-43.1911682
22011970,-22.9614409,-43.1735053
22031111,-22.9626153,-43.1911682
22041080,-22.9677087,-43.1892128
22060030,-22.9781081,-43.1896959
22020030,-22.9621959,-43.1783486
22071120,-22.9825018,-43.197328
22081001,-22.9846964,-43.1935143
22051001,-22.9714027,-43.1893664
22030010,-22.9642593,-43.1804746
22051021,-22.9720515,-43.1900074
22051970,0,0
22051973,-22.9720434,-43.1898495
22041090,-22.9677087,-43.1892128
22051974,-22.9720434,-43.1898495
22030900,38.9009108,-77.2137628
22040901,38.8966075,-77.1877999
22081000,-22.9846964,-43.1935143
22011900,-22.9614409,-43.1735053
22051002,-22.9756546,-43.1923033
22061021,-22.9747594,-43.197717
22051030,-22.9715362,-43.1906752
22021050,-22.9652183,-43.1833188
22011001,-22.9640719,-43.1787853
22040001,-22.9686243,-43.1857895
22040002,-22.9682999,-43.1852364
22051020,-22.9720614,-43.1900124
22081020,-22.9844176,-43.1926201
22041040,-22.966324,-43.1901327
22051011,-22.9728835,-43.1908261
22050032,-22.9745731,-43.1905153
22051012,-22.9748916,-43.1872913
22050031,-22.975442,-43.1876342
22020010,-22.9638123,-43.1762277
22061020,-22.9756546,-43.1923033
22011002,-22.9640719,-43.1787853
22020050,-22.9657015,-43.1791444
22051971,-22.9720434,-43.1898495
22080041,-22.9870065,-43.1911948
22011060,-22.9659386,-43.1805236
22031100,-22.9634292,-43.1943468
22290120,-22.9611029,-43.1785563
22011050,-22.9654,-43.180802
22061060,-22.9738362,-43.1943975
22080040,-22.9870886,-43.1916513
22080010,-22.9831907,-43.1919385
22031012,-22.9717493,-43.1846794
22050012,-22.9715111,-43.1859386
22020020,-22.964749,-43.1783703
22031011,-22.9690469,-43.1869922
22290110,-22.9601065,-43.1767217
22050011,-22.9699568,-43.1839369
22071020,-22.9786161,-43.191477
22011030,-22.9620161,-43.1771158
22021030,-22.9670991,-43.1805367
22031020,-22.9690469,-43.1869922
22071040,-22.9771003,-43.1955537
22030020,-22.9637463,-43.1814878
22040900,38.9009108,-77.2137628
22041030,-22.9679571,-43.1904035
22061900,-22.9747594,-43.197717
22030030,-22.9638748,-43.1816745
22030040,-22.9647721,-43.182748
22020060,-22.9662785,-43.1814229
22040970,-22.9689026,-43.1850073
22041020,-22.9640262,-43.1921423
22031050,-22.9662385,-43.1893646
22011090,-22.9634394,-43.1803211
22060021,-22.9759489,-43.1912646
22031040,-22.9666858,-43.1889948
22071001,-22.9777221,-43.1915861
22040042,-22.9712899,-43.1892675
